variable,spearman_rho,p_value
agn_shell_count_0.5_1.0R,-0.11112631987390525,0.00802951501973468
agn_weight_near_1.0R,-0.10922378638163685,0.009182950282509218
agn_shell_count_1.0_1.5R,-0.10876805194172554,0.009480253400148235
agn_count_1.5R,-0.1083621149471326,0.009752248233065839
agn_count_1.0R,-0.10787282433112372,0.010089296988020274
agn_count_2.0R,-0.10613909751208975,0.011368355806324552
agn_large_count_2.0R,-0.10613909751208975,0.011368355806324552
agn_large_count_3.0R,-0.10547121033192647,0.011898168049069204
agn_weight_zmatch010_2.0R,-0.09932097957791663,0.01789737143475561
void_network_count_3R_dz0.05,-0.09166396442033777,0.028933433519383708
void_isolation_index,0.08469347622544485,0.04362687036682246
void_network_weight_3R_dz0.05,-0.060404002410402155,0.1505091935417499
